,description
321,"poetry, memoir, jones, poet, queerness, fight, written, boyhood, sacrifice, tumultuous"
322,"witches, witchcraft, witch, burroughs, memoir, ghosts, spooky, augusten, devil, believe"
323,"memoir, wandering, fiction, dreamscape, haunting, year, smith, surreal, wonderland, patti"
324,"carmen, memoir, machado, tropes, narrative, maria, experiences, themes, horror, relationship"
325,"snowden, nsa, permanent, record, surveillance, memoir, spy, whistleblower, cia, digital"
326,"vogue, memoir, fashion, manifesto, interracial, welteroth, journalist, elaine, generation, struggles"
327,"wild, adrienne, tale, game, resilience, epic, memoir, cod, blossoming, affair"
328,"polly, murders, elizabeth, annie, catherine, famous, stories, 1888, ballads, printing"
329,"mcconville, patrick, intruders, murders, keefe, bones, belfast, aftermath, tale, reckoned"
330,"adoption, adoptees, orphans, novel, stories, birth, families, reunited, publication, trafficking"
331,"heroine, spies, madonna, churchill, 1942, woman, normandy, hall, enemy, resistance"
332,"qaeda, eyewitness, terrorists, narrative, journalist, declassified, pentagon, towers, histories, 2001"
333,"northwest, pulitzer, pioneers, putnam, ceded, ohio, slavery, settlement, mccullough, 1788"
334,"sioux, tribes, indians, wounded, anthropologist, 1890, knee, massacre, ojibwe, narrative"
